
10 3103 [291, 114, 388, 369, 107, 177, 370, 307, 294, 307, 234, 145]
13 2312 [297, 209, 158, 122, 231, 127, 206, 260, 215, 87, 148, 252]
11 2833 [179, 249, 387, 243, 337, 239, 92, 280, 374, 146, 97, 210]
12 3041 [357, 183, 147, 275, 108, 314, 324, 262, 376, 287, 274, 134]
14 3167 [372, 103, 189, 382, 319, 308, 109, 281, 357, 125, 376, 246]
18 2760 [203, 196, 277, 162, 252, 268, 147, 268, 101, 189, 325, 372]
17 2877 [255, 265, 250, 155, 368, 152, 78, 323, 338, 285, 117, 291]
20 2973 [210, 262, 92, 292, 256, 269, 132, 378, 375, 274, 82, 351]
15 2747 [112, 162, 283, 264, 179, 327, 207, 282, 208, 302, 337, 84]
19 2323 [172, 109, 355, 144, 85, 142, 152, 295, 362, 150, 223, 134]
16 2915 [375, 211, 88, 164, 328, 232, 388, 341, 190, 296, 180, 122]
22 2888 [299, 129, 103, 245, 318, 380, 175, 335, 318, 243, 217, 126]
23 2466 [315, 144, 194, 80, 259, 211, 108, 130, 366, 333, 191, 135]
21 2672 [257, 114, 307, 160, 371, 342, 134, 220, 106, 163, 349, 149]
25 3432 [326, 361, 116, 293, 149, 146, 366, 388, 360, 199, 380, 348]
24 2938 [347, 312, 316, 102, 106, 349, 282, 221, 221, 227, 243, 212]
26 2371 [107, 326, 117, 78, 122, 78, 255, 113, 163, 342, 346, 324]
29 3035 [79, 192, 372, 281, 85, 108, 237, 325, 376, 300, 294, 386]
28 3098 [365, 380, 185, 137, 276, 233, 329, 230, 250, 243, 208, 262]
30 3029 [380, 259, 185, 297, 150, 104, 354, 338, 271, 310, 79, 302]
27 2573 [239, 134, 372, 87, 192, 371, 104, 219, 327, 98, 108, 322]
31 2729 [191, 219, 293, 361, 131, 268, 272, 380, 139, 219, 153, 103]
32 2693 [78, 243, 123, 354, 104, 155, 179, 232, 384, 241, 264, 336]
33 2823 [257, 148, 191, 330, 257, 258, 245, 214, 218, 355, 254, 96]
34 2938 [124, 354, 364, 97, 175, 309, 125, 251, 383, 123, 307, 326]
35 2586 [99, 249, 157, 354, 232, 178, 170, 318, 160, 261, 327, 81]
36 2679 [194, 273, 261, 228, 193, 185, 148, 164, 279, 312, 315, 127]
37 2414 [217, 114, 323, 201, 216, 120, 336, 161, 208, 178, 194, 146]
38 2810 [265, 290, 135, 227, 80, 361, 271, 240, 236, 347, 114, 244]
39 3192 [323, 186, 340, 341, 355, 147, 294, 309, 81, 272, 294, 250]
40 2574 [175, 167, 261, 306, 135, 215, 337, 120, 108, 314, 358, 78]
41 3043 [360, 300, 147, 344, 290, 283, 200, 269, 181, 245, 163, 261]
42 2502 [267, 257, 100, 252, 189, 114, 123, 363, 212, 95, 378, 152]
43 2599 [137, 318, 161, 166, 214, 360, 200, 238, 134, 110, 364, 197]
44 3668 [376, 257, 327, 369, 383, 291, 137, 276, 366, 256, 357, 273]
45 3429 [378, 335, 286, 131, 342, 286, 343, 365, 167, 358, 254, 184]
46 2576 [355, 344, 237, 136, 137, 292, 197, 177, 79, 182, 200, 240]
47 2520 [105, 110, 280, 100, 100, 273, 304, 268, 277, 249, 193, 261]
48 2691 [324, 373, 176, 377, 263, 129, 220, 148, 89, 143, 128, 321]
49 2735 [107, 383, 94, 158, 216, 310, 181, 272, 147, 386, 386, 95]
50 2955 [221, 333, 368, 318, 226, 172, 139, 218, 371, 314, 114, 161]
51 2726 [82, 364, 185, 375, 367, 119, 335, 245, 95, 138, 82, 339]
==========***** 2021-01-10 11:12:19 start to log *****==========
54 3095 [218, 347, 178, 351, 356, 370, 134, 352, 386, 100, 161, 142]
53 3154 [112, 278, 298, 320, 365, 143, 247, 282, 309, 157, 366, 277]
55 2106 [320, 152, 122, 185, 225, 334, 110, 105, 181, 146, 114, 112]
52 2712 [315, 363, 176, 102, 281, 270, 130, 261, 125, 250, 180, 259]
56 2830 [114, 294, 284, 169, 222, 187, 177, 247, 349, 354, 213, 220]
57 2541 [313, 162, 278, 256, 327, 233, 251, 268, 105, 78, 94, 176]
61 2799 [299, 294, 341, 240, 337, 106, 111, 259, 132, 79, 266, 335]
58 2613 [265, 97, 96, 270, 265, 206, 325, 116, 175, 195, 377, 226]
59 2511 [140, 100, 189, 227, 122, 207, 298, 83, 362, 259, 173, 351]
62 2944 [385, 254, 181, 170, 231, 233, 331, 102, 372, 353, 174, 158]
60 2624 [316, 108, 355, 219, 183, 320, 155, 359, 261, 140, 82, 126]
63 3061 [337, 256, 174, 293, 288, 232, 346, 169, 257, 134, 240, 335]
64 2938 [113, 201, 298, 242, 314, 161, 330, 214, 192, 97, 388, 388]
67 2500 [269, 229, 140, 339, 118, 284, 200, 208, 192, 79, 176, 266]
65 2570 [133, 240, 248, 255, 240, 256, 89, 168, 289, 144, 267, 241]
66 2800 [229, 285, 144, 83, 332, 277, 321, 237, 186, 242, 291, 173]
69 3371 [129, 96, 303, 358, 308, 287, 320, 354, 244, 319, 307, 346]
68 2603 [163, 145, 79, 177, 149, 367, 89, 115, 251, 339, 388, 341]
71 2980 [202, 217, 110, 320, 270, 158, 266, 102, 335, 282, 373, 345]
72 2575 [192, 301, 91, 306, 161, 179, 253, 91, 199, 308, 144, 350]
70 2892 [196, 158, 238, 355, 347, 388, 165, 367, 275, 80, 182, 141]
75 3416 [176, 294, 375, 359, 238, 259, 271, 177, 266, 340, 325, 336]
73 3417 [253, 287, 373, 215, 287, 329, 161, 361, 316, 364, 330, 141]
74 2629 [252, 102, 253, 108, 183, 343, 183, 212, 207, 229, 282, 275]
77 3099 [134, 265, 151, 297, 354, 297, 141, 300, 110, 380, 332, 338]
78 2742 [375, 193, 112, 318, 173, 245, 218, 334, 191, 104, 284, 195]
81 3275 [228, 228, 325, 375, 231, 344, 153, 349, 145, 261, 345, 291]
76 2786 [139, 348, 165, 265, 137, 288, 165, 311, 243, 250, 184, 291]
==========***** 2021-01-10 11:14:02 start to log *****==========
79 2908 [300, 132, 369, 196, 327, 348, 291, 311, 282, 186, 78, 88]
82 2915 [366, 91, 91, 369, 92, 341, 306, 125, 164, 269, 348, 353]
80 2178 [89, 79, 88, 282, 382, 134, 135, 92, 274, 328, 202, 93]
84 2750 [251, 258, 209, 287, 342, 122, 223, 111, 329, 212, 215, 191]
83 3106 [219, 381, 244, 244, 357, 274, 364, 78, 232, 120, 380, 213]
86 2889 [242, 133, 316, 97, 351, 136, 136, 227, 373, 375, 344, 159]
88 3094 [296, 259, 168, 286, 320, 353, 352, 336, 188, 231, 204, 101]
85 2496 [78, 374, 159, 185, 303, 315, 114, 115, 193, 118, 260, 282]
87 2953 [340, 225, 318, 345, 105, 338, 218, 305, 86, 267, 103, 303]
90 2443 [265, 248, 89, 132, 140, 328, 171, 173, 174, 311, 96, 316]
95 3259 [348, 341, 298, 208, 382, 246, 319, 191, 386, 218, 176, 146]
96 2303 [300, 148, 322, 264, 104, 179, 102, 344, 172, 98, 131, 139]
97 2564 [281, 241, 154, 239, 120, 374, 223, 185, 127, 262, 138, 220]
98 2592 [210, 182, 143, 332, 112, 206, 335, 215, 234, 139, 103, 381]
99 2675 [299, 221, 308, 93, 252, 382, 100, 179, 224, 107, 128, 382]
100 2894 [180, 331, 109, 359, 267, 239, 209, 119, 372, 115, 247, 347]
101 2399 [221, 160, 346, 365, 101, 342, 126, 163, 158, 131, 78, 208]
102 2647 [230, 257, 236, 336, 349, 307, 192, 172, 100, 126, 84, 258]
103 2709 [161, 89, 198, 339, 323, 350, 203, 183, 219, 190, 332, 122]
104 2694 [365, 153, 164, 108, 273, 216, 198, 256, 211, 217, 263, 270]
109 3257 [257, 293, 371, 90, 375, 171, 331, 128, 311, 352, 307, 271]
108 3098 [227, 352, 81, 380, 171, 337, 248, 305, 252, 84, 375, 286]
